bldgid,edid,shape_area,altitude_m,rooftype,shape_length,border,geoid,name,namelsad
59026,DC00066551,3007.7485222750515,59.5,Shed,512.8057604938025,01060000000200000001030000000100000006000000BEAB83FDF44253C001A992FDEF74434061586450F54253C0AF9D0312F17443409157C48AF64253C0374B0A2CF074434003B61E15F64253C0F92342A3EE7443407AFEA5DAF44253C0B2713B89EF744340BEAB83FDF44253C001A992FDEF7443400103000000040000006E000000BEAB83FDF44253C001A992FDEF7443401DC6539CF44253C06D31EFBEEF744340D7C03AB4F44253C0A4B3F54CEF744340847F6166F44253C0789D6942EE74434071E2FF5AF44253C0E9846F1BEE74434021C7C235F44253C0128AE99BED7443404DF045ECF34253C09D6353A0EC744340A3003933F54253C055B8FCBCEB7443403A7419A7F44253C003CC91C2E974434015A6734AF44253C0388CC103EA744340DC218724F34253C0F09CD810E67443407767836EF14253C0DEBF392EE0744340144DE4EFF04253C0DE6DFA87E0744340B1ECACC6F04253C0B03299FADF7443401F81398EF14253C03A36206DDF744340DB227F36F14253C09228F740DE744340B060D43DF04253C000A601F1DE7443401614E124EF4253C0DBB794B7DF74434008851BE5EE4253C0BFBAD785DF744340FCCA79C4EE4253C0D5177B9CDF744340A16036BBEE4253C044D4FB7BDF7443409E19EE93EF4253C0A195E4E0DE744340A1E51E74EF4253C0690F8871DE7443405D04699BEE4253C0F4049E0CDF7443406254C72CEE4253C0F3B01989DD744340B0965C71EF4253C0D9DDD6A6DC744340DB3F5B0EF04253C060B45E39DC7443409D30F147F04253C05E214611DC744340FD2F6618F04253C05536E66FDB744340C36776E0EF4253C0D594FD97DB744340E0ED1FCFEF4253C0934F065BDB7443409860E931EF4253C00607A1C8DB74434050F39502EF4253C03C32E322DB74434046B6D72DEE4253C082F73DB7DB744340D6748AE4ED4253C0F21E72B6DA7443408CBF89BAEB4253C006A5A638DC7443403EFBAEA4EB4253C0BB69DB47DC74434064B31B88EB4253C049EEC05BDC744340C199736CEB4253C092800B6FDC74434006B1EC74EB4253C00DF37D8DDC7443405DFBB67BEB4253C0FCC509A6DC744340C81E134FEB4253C0C85753C3DC744340E37118A4EB4253C079A94EF5DD7443403B91A0D0EB4253C0D32C41D8DD744340B02F50CCEB4253C009C0B1C8DD74434077A6E3D8EB4253C00B59EABFDD744340A225A6DBEB4253C010AEBCC9DD744340650BBB2EEC4253C0B4AAAEECDE744340A68D1EC6EC4253C0504DDEFEE0744340BBE201F8EB4253C0ADE8078EE1744340380E3902EC4253C0D0B802B1E174434021A74711EC4253C087DEAFE4E174434054FA8322EC4253C01C12B11FE27443405FD33B31EC4253C0AC734F52E27443400D789013ED4253C080AD1AB5E17443409D9FD804ED4253C041A58F82E1744340404B9CF3EC4253C0A7728E47E1744340BBAF8DE4EC4253C07EF5CD13E1744340F39558DAEC4253C06135DAF0E074434048E89A75ED4253C0395F57FFE274434031455F66ED4253C09699260AE37443400FEE7382ED4253C0BD868D6AE374434013177456ED4253C0847C0A89E374434096481382ED4253C07D048E1EE4744340A93DFBBEED4253C069CD86EFE474434088D183E8ED4253C0ED45C7D2E47443405159141BEF4253C0C0D2A9EEE874434089106021EF4253C0CAA03104E97443401FE99DF5EE4253C020BCEE25E9744340FEADF096EF4253C08B88F95AEB744340A8E230C0EF4253C0DEB980EBEB74434038CFD008F04253C073F6F4E9EC74434008998245F04253C0C33DE4EAEC744340832310CCF04253C00D8C9ACCEE7443408ECC4EABF14253C06DEA2CCDF1744340C5FCE4B8F14253C0EC04B8C3F174434086B1F09DF24253C0DEA7C3BAF474434063BF7F35F34253C07C85E9AEF6744340C007E4F8F24253C045C748D8F674434002613078F34253C014BB77B5F8744340323841B5F34253C0702CB58BF87443405ED1C4B0F44253C034B65C3AFC74434022CA27B2F44253C0583E815EFD744340C696306DF94253C0F1B0B250FD7443401B9D9068F94253C012F78278F9744340A99E48E2F74253C06F9F1B7DF97443406896D0E1F74253C012717315F9744340498B6D00F84253C04C7E0C15F9744340E61F64F9F74253C04471CFE2F5744340A7C8215CF94253C0F10C05F2F57443407B5F4C58F94253C0E0203D78F3744340BF197055F94253C0B617CDA4F17443400A502F6AF94253C0A13F02A4F174434028061662F94253C0F51E28A2EF74434066591137F84253C0741094ADEF744340946B2D0EF74253C06A7BFFB8EF7443403A3B3A16F74253C050F2B5BAF1744340731206CEF64253C001057ABDF17443403F617F56F64253C099F2AA09F2744340B71FE2C4F64253C03367507CF3744340FBE3783FF74253C0A97C8E7BF37443403001201AF74253C05EA0F0D1F37443409C1850D5F54253C0D9B92AD5F4744340E1A3F4B3F54253C0750FCA66F4744340A87A1F3FF54253C002A13EE4F27443408EFA43A6F54253C0C2191B9CF2744340B3F97B68F54253C04FDF06C0F1744340408EDB1BF54253C080B47E7EF174434053F105EFF44253C0AD265EE0F0744340BEAB83FDF44253C001A992FDEF74434005000000107394A8F34253C0542260CFEC744340EED6A826F34253C0F48FB329ED744340F2BFC315F34253C047D41EEDEC7443402017636DF34253C0C022A6F9EB744340107394A8F34253C0542260CFEC744340070000004532FA38F34253C03B67513CEB744340086348CBF24253C021B9CC1DEB744340C048CE9FF24253C018061E89EA744340FF8229BAF24253C089931FFBE974434026133900F34253C087321CECEA744340798B231DF34253C08268C4D7EA7443404532FA38F34253C03B67513CEB74434004000000377C9D72EC4253C005F252BDDE744340F250C60CEC4253C0A2CBA858DD7443408F6EAA0DEC4253C02E849154DD744340377C9D72EC4253C005F252BDDE744340,11001005500,55,Census Tract 55
59450,DC00064079,1043.0685295142475,43.09,Combination,340.98270969435004,0106000000020000000103000000030000005A000000636A5F7EFE4253C0B8696B51ED7443400F02ED0F004353C0CC64185EED744340FB111D46004353C03395077CEC74434022E1CB75004353C00F820576EC744340F7B90DB4004353C0CFEDFE11EC74434031C735B7004353C0F7664113EB7443404BC00742004353C0CFF34B16EB74434068384C36004353C09B1CCE04E974434051D5FB3E004353C046CEEC83EA74434089BF7EFB004353C002967A7AEA74434097082932014353C0764C0719EA744340B503E435014353C0649C0407E974434093B03D51004353C011D50905E974434018B9C451004353C0D5285B75E87443409C8FB97E014353C04B63FC77E8744340F76291AA014353C02DEDF137E874434056710EAB014353C011A7EDB3E7744340DABAA77F014353C00F3AD874E77443401EC6FCAA014353C05F193575E774434068F790AB014353C0C7C3EBDDE6744340C56F0554014353C00858F42BE67443409AB6FF55004353C0E995BD29E67443407CAB9456004353C01539AB86E574434088379C96014353C05C536E89E5744340038169C6014353C0F622D534E5744340A5DEA3C4014353C0098E5642E4744340E6A72095024353C084952244E4744340B0818C96024353C0DA7F28C5E2744340883127B0014353C097F126C3E274434026430FB0014353C0D62752A7E1744340D6A9FA94004353C0884CDEA6E174434020139595004353C0C8E2031EE1744340FC94C8A5004353C0F73E271EE1744340D0D45DA6004353C0B7C4266DDF744340F93C8E90004353C044ABB26DDF744340FCBB2D91004353C07E2C4EA3DD74434018AA62F2004353C0DE2F3AA3DD744340A2BA43F2004353C0403BF833DC74434070BECA25004353C004432234DC744340122AC325004353C0B5B60EDADB74434093F2F4B4FE4253C05BDAEAD8DB74434031CE7C50FF4253C05EF2CAD8DB7443409AEF9327014353C0CA2061DADB74434090BF0B29014353C09322BC55DA7443406D3F6729014353C088EC2FFCD97443404263D15B004353C065DF4FFAD9744340023C825B004353C02F7AE353DA744340FACC562E004353C002A18453DA7443408695A62E004353C055FDC001DA744340D417EF8EFE4253C0CAAA01FED97443404F9DDD8EFE4253C0203FBF10DA74434002D25943FE4253C0B6AD2010DA7443402CAFA941FE4253C08D1BB5D8DB74434038DAFB81FE4253C0CC8EEFD8DB744340B55D2282FE4253C0365EBAA3DD7443406AF5B873FE4253C08B52BDA3DD74434088287772FE4253C0B7199E19E1744340B895E481FE4253C09DFBBE19E1744340BD170C80FE4253C0750906BCE27443409EF5E47FFE4253C0EBCBA4E6E274434072B52748FE4253C0CB38B0E6E2744340A5AA3948FE4253C06DA59EBCE37443401BB61E7FFE4253C07F6793BCE37443406673AC7EFE4253C0301C003BE474434069169A6DFE4253C050EBDC3AE47443408A895D6DFE4253C0FCB8227DE4744340E0E80346FE4253C02B1ACA7CE474434029874245FE4253C0F8645E48E574434019F4A16CFE4253C0DF10B748E57443403260F46BFE4253C00B196E08E67443405FE99844FE4253C018761508E67443406DC0D743FE4253C04BD64ED6E67443407BC7366BFE4253C04481A7D6E674434024BCAD6AFE4253C08FD1F06DE77443401870F676FE4253C04027116EE7744340418EE14DFE4253C0899762BDE774434094CA6F4DFE4253C0AF3B0235E874434048911476FE4253C087133471E8744340902E8C75FE4253C0BA164B02E9744340030E238BFE4253C0E8607E02E97443406E4DEB60FE4253C0C0999045E9744340C1EA1B56FE4253C071878C8BE97443408A76004EFE4253C0DDA20EC1E974434037358C5DFE4253C0A63E5103EA7443401D0F2088FE4253C0130F9F3DEA744340C59C4C85FE4253C046C28E24EB744340FBD51F42FE4253C09262B423EB7443404C490F41FE4253C08DD69A48EC744340D8EDB781FE4253C00FBD4D45EC744340636A5F7EFE4253C0B8696B51ED744340040000000DA8FA56004353C05CA80417E57443408CD6BF57004353C00DD4263FE47443402E8B7958004353C0AA93273FE47443400DA8FA56004353C05CA80417E57443400A0000008D401CBAFE4253C09B237A3BE47443405C1636BAFE4253C02068E5B4E37443404F1FCB86FE4253C09764E12BE47443400B72F97FFE4253C0B919BC2BE4744340369E8C80FE4253C0CE6AAD87E374434094CD2B81FE4253C0F7B23CDFE2744340FE78FD87FE4253C070A54EDFE2744340634592BAFE4253C0951A3563E37443406D3788BBFE4253C09ED98ABCE27443408D401CBAFE4253C09B237A3BE47443400103000000010000001B000000636A5F7EFE4253C0B8696B51ED74434076CC8D7CFE4253C0D990278BED744340A52D963AFE4253C0BC4C3886ED74434033F69039FE4253C047C6A69EEE74434091C14276FE4253C0417A829FEE7443408AAFD56FFE4253C07FF0F7D8EF7443404F98E153FE4253C00FDF28D8EF744340C1181461FE4253C02A55AB81F174434074DCE811FE4253C08A11C080F17443405A09351AFE4253C0BAEC2AFCF274434004F5224FFE4253C00459303DF37443403A6A8DD3FE4253C01E2D0C3FF3744340834816FDFE4253C029A69F25F37443400D94B201FF4253C05349819CF1744340EE46011FFF4253C05E5EDF9CF1744340CADC251DFF4253C01788A6CEF0744340A80B1500FF4253C04B6C38CEF0744340E7F8B64AFF4253C0294178DFEF74434016379D62FF4253C025FA2DE0EF74434017C3DEBAFF4253C003E2F1ABEE74434099AABEE7FF4253C03BD1F69BEE744340F6AC420A004353C075A40C6FEE744340E99E2322004353C038983A4AEE7443406BA7E72C004353C0C3F28F10EE7443407A61372D004353C033341EBEED7443409B825E20004353C00E81105FED744340636A5F7EFE4253C0B8696B51ED744340,11001005500,55,Census Tract 55
59547,DC00066571,427.346534908975,42.5,Shed,92.25421379531808,01060000000100000001030000000100000016000000CC55234AF54253C020A593B9E8744340BE1E2935F94253C0A4BC3AB5E8744340644E8778F94253C0B0FBF2B4E8744340314C5B77F94253C003B013FEE7744340FFC2E3B2F94253C0F56A1FFDE7744340A1DD8AB0F94253C0252EF384E67443402FD67175F94253C0765CE785E6744340E513EF74F94253C007A48D32E6744340451514B3F94253C0D7D69831E67443407162AEB0F94253C07B7A5CB4E4744340BAEB2D77F94253C022FD3CB5E4744340CBA94F76F94253C04286ED27E4744340A04B6832F94253C079330A29E4744340C23E2832F94253C0046D1F02E4744340135FA3DBF84253C0FFB95702E47443402EF7F887F84253C03721B602E47443400EADC51CF54253C05BEDB607E474434070DA391DF54253C07028BFABE3744340A3505B24F44253C05585F1ABE374434080EDDA23F44253C0EDAF2309E47443401563BDEAF34253C0DB427709E4744340CC55234AF54253C020A593B9E8744340,11001005500,55,Census Tract 55
59576,DC00066565,272.89102921086726,44.42,Shed,82.49767739697937,0106000000020000000103000000010000000500000043AEA8F4F64253C0E14C3A21EA7443400FE6FC52F64253C093630823EA744340226A0654F64253C099DD8CFAEA74434064C2A2F1F64253C04E4AC3F8EA74434043AEA8F4F64253C0E14C3A21EA7443400103000000010000001500000064C2A2F1F64253C04E4AC3F8EA744340A28DABC0F64253C049AB8045EB744340F6A323C1F64253C09DB0B5ADEB74434060518C5CF64253C0DB31A0B2EB7443400CA7D65DF64253C013FB4FC5EC744340E6F63033F64253C024AECCC5EC74434066FC14B4F64253C05ECCF297EE744340A9DEF535F84253C00EC68F93EE744340CB86E096F84253C0CABD7191EE744340532A2825F94253C0DFAA758EEE744340F34B1D57F94253C0FB01708DEE744340FAA3EF54F94253C09ED2C5C9EC74434033542E30F94253C0F9B322CAEC744340A653E62DF94253C032E94BF2EA7443409DCBF362F94253C03E1EB1F1EA7443402B049160F94253C005D4E002E9744340D0EF396EF84253C0223BB705E9744340911A50F3F64253C0BF352C0AE974434043AEA8F4F64253C0E14C3A21EA744340D6BEB2F5F64253C06B4CB3F8EA74434064C2A2F1F64253C04E4AC3F8EA744340,11001005500,55,Census Tract 55
59727,DC00064083,59.471021465680366,35.34,Combination,42.920856673125485,0106000000010000000103000000010000000B000000751EA255014353C0201B027ADF7443403F317D6C024353C0F6510582DF744340311E836E024353C0303AEFD6DE7443406058AB0B044353C04897C4E2DE7443408E984A44044353C0F737B6A1DD744340BFB75272024353C04F835594DD74434060D75870024353C084A47D3BDE744340A1100ED8014353C02FA42737DE74434004A698D6014353C02E6041B2DE74434044620858014353C0E62994AEDE744340751EA255014353C0201B027ADF744340,11001005500,55,Census Tract 55
59730,DC00066572,308.2410616762994,46.45,Saddle,101.21304779783978,010600000001000000010300000001000000190000006CE36A59F64253C0BF1709B4E374434017ED248AF74253C05967BCB2E3744340F2DD6470F84253C0D1CDB8B1E3744340DFB5B484F84253C0CE53A1B1E3744340EAB34AF5F84253C093B129B1E3744340687EE560F94253C0A30FB3B0E3744340C1721160F94253C0C4477DE0E1744340E10D3C5FF94253C0069D1B00E0744340854EA1F3F84253C0EC3E9200E0744340229460CFF54253C0ED5D0104E07443406EA211C0F44253C074CE3305E074434052269186F44253C0937A7905E0744340F1F41987F44253C0B8B8BF37E1744340B6BB9AC0F44253C061897538E1744340D6252A2BF44253C0B6F28437E17443405CE31927F44253C0FD717905E0744340C988A401F34253C04E5E6705E074434099F25EFFF24253C0A65DBB9EE074434080A6675BF34253C039917FCFE174434048703F2DF44253C03CF98BD4E17443407B9302BAF54253C08BE021DEE1744340DEDAECB8F54253C078AF03C8E27443403D91F7E3F54253C06B45D4C7E2744340B1D20259F64253C0411D35C7E27443406CE36A59F64253C0BF1709B4E3744340,11001005500,55,Census Tract 55
59769,DC00064273,7.214529954829514,38.55,Shed,12.68200655765532,0106000000010000000103000000010000000500000005A63FBA004353C087F0D836E1744340491449BA004353C08D9CD6A6E174434000DD14A5014353C0FD1141A7E1744340CE5E0BA5014353C0D7A2A836E174434005A63FBA004353C087F0D836E1744340,11001005500,55,Census Tract 55
59889,DC00066630,477.30069069504566,43.13,Combination,109.33532704167175,01060000000100000001030000000200000012000000166905FFEA4253C07084FFCDDA7443405B1A0541EB4253C010C113A0DA744340BF036900ED4253C0B23F906BD9744340FB6A7751EE4253C0901A268CD87443403BC099F0ED4253C027C03FF8D67443400C90ADD8EF4253C0D0A35EF9D67443403EFF34D6EF4253C0AD615428D574434030137FD5EF4253C0ECB6F8BFD4744340EC6417D5EF4253C00093AC87D47443402374BFC0EC4253C054309F86D4744340202465A7EC4253C028494956D4744340BD4577C0E94253C04AEFA651D4744340200AC3A9E94253C0673F9085D4744340D19C1290E94253C0F46F8785D4744340458F3150E94253C019E3E330D57443400D53B2F0E94253C0035D3774D7744340CB168C0CEA4253C04F65D062D7744340166905FFEA4253C07084FFCDDA74434005000000B0892772ED4253C0F026AD45D574434048875A71ED4253C029252D88D5744340E8CC51DAEC4253C07509D683D574434005D21EDBEC4253C0B3636941D5744340B0892772ED4253C0F026AD45D5744340,11001005500,55,Census Tract 55
59930,DC00064071,663.3411928978326,42.06,Combination,191.9691383582261,01060000000200000001030000000100000023000000897937D8024353C0950987CFDB744340E74696E9044353C05C7523DEDB7443408C4B6983054353C01CC26647D8744340DCBB0DE5054353C0A2BC6049D874434043F6FD4A064353C06E8E8F7CD67443404DA73A9B064353C087233469D574434028C4EEEF064353C0F5B9E71BD5744340036CF996064353C0766B6348D474434079DC9637064353C0906C0AA9D4744340F3713FA2054353C0897918A5D47443407C3223A3054353C00C2B5D4CD4744340FFEEB99C044353C07FF97845D47443407557FB9B044353C01F98319ED474434029BE239B024353C0CEB4B590D474434091DB089D024353C0FB2AA482D4744340344BCE75FE4253C0CF3C0278D47443407824AB76FE4253C0C5E9A2F3D47443402D8BFC79FE4253C097E4A007D7744340E142B37AFE4253C0CBBC7777D774434025B6F09CFE4253C06E91D077D77443403806FA9EFE4253C06CC08CAED8744340AB86C888004353C0A3AC4BB3D8744340896ABF86004353C09BC2B97CD77443401B422E36024353C097AF0D81D774434086B36045024353C03B415A11D7744340BAB00F5C024353C03595B067D6744340E737BBC1034353C068921A6FD674434065558EB5034353C0BE2CF73DD874434056CC48B4034353C026C257A5D8744340C35B6CD7024353C0ABBAE6B6D87443400B6611D5024353C0DA962E75D9744340A3960830034353C0E807EE6DD974434055ACB32C034353C06A80EDA2DA744340BFA0F1D2024353C0E379F2A5DA744340897937D8024353C0950987CFDB74434001030000000100000005000000897937D8024353C0950987CFDB7443401B554CE0024353C06C95D096DD74434084AE8177044353C0C86F80A2DD744340AA4F0170044353C018C636DBDB744340897937D8024353C0950987CFDB744340,11001005500,55,Census Tract 55
59909,DC00066583,1077.4458894174315,44.15,Combination,323.8611037549592,0106000000020000000103000000010000003700000026B66BF6F74253C07D099E87D47443402B6FCC74F74253C093A07987D4744340D224A75EF74253C081C48269D4744340391C7B3BF74253C0511FA840D47443405C907C07F74253C09E81B62ED4744340B0A7E6DAF64253C0714FDB39D47443402FBD82B7F64253C0C9776559D474434084C5C18EF64253C0A0F73887D474434011087F8EF64253C0FBEA4394D6744340049C1ACAF54253C0F2B43194D6744340A0DB76C8F54253C0189ADD8FD57443406D6474DAF54253C071EB9F8FD57443409E42ABD8F54253C096A8C570D4744340DB20705BF44253C0690F9776D47443404B20A35BF44253C03FA5FD97D47443405DA3893DF34253C03A735F9CD474434076BC4038F34253C00F50F772D4744340DDC5C325F34253C05DD46047D474434092191C08F34253C08833282AD47443400F082DE1F24253C034490B21D4744340660944B8F24253C0774C2F2CD4744340B5BDFD92F24253C095097851D4744340D0519270F24253C030ADE37BD4744340E51CB170F24253C0C668D290D47443409C154E60F14253C07F830A95D4744340A19B6910F14253C0FB034396D4744340172EBCDCF04253C082766A41D474434086529669F04253C058953E43D474434087B7C03AF04253C0874C9499D4744340EF695F3EF04253C0164232DCD67443408788B7CAF04253C06DB00BDAD6744340713C852AF14253C026C490D8D6744340365C762AF14253C0CFC862E6D77443403DB7B36BF14253C07FE66AE6D7744340D64A126FF14253C0FE9F5E0DDA74434020AF1F7AF24253C0D57F890DDA744340A50F9577F24253C0A0523E8FD87443402E1CD05FF34253C048BEA88BD8744340182C4E5FF34253C05C296602DA74434021A9F263F44253C046464003DA7443408ADB0664F44253C0955C6610DA74434082EA6D66F44253C01015C1A0DB7443400101AC6AF44253C00A05C762DE744340B1FAA8D1F54253C0360DDF62DE744340EC7E9FD1F54253C0FE82159CDB744340766D6D01F54253C0BB14BE9EDB7443403C3544FFF44253C030A1010EDA7443405EA4B1E1F54253C0FB85810ADA74434027A6756AF64253C0F8775B08DA744340B6BC5E68F64253C0BDFEA3BFD874434008AEC4EBF64253C0C2B6D6BFD87443406C389C22F74253C05645F2BFD874434005608E22F74253C04F013543D97443406BFBD8F5F74253C0DACE6A43D974434026B66BF6F74253C07D099E87D47443400103000000030000002B0000006BFBD8F5F74253C0DACE6A43D97443405C608CA9F84253C0AD279843D9744340C68DCD89F84253C0E4F55878D9744340CC5B1302F74253C0B333D57BD97443406F0A0504F74253C014012258DB744340264ED704F74253C02873FC1CDC7443400E074293F64253C0CE288422DC7443408CC44598F64253C04C8F4D1EDD744340B758DF05F74253C09696B717DD7443404F5DE805F74253C0000FA11CDD7443401D9566FDF64253C00C95BFE9DE744340CD9E892BF74253C08ED568E9DE744340E39FFAD6F74253C029CBE9E7DE744340E3515D0AF94253C01E3A40E5DE7443404742FF5EF94253C0A0E380E4DE744340329B665DF94253C014660D26DD7443406ADABF5BF94253C051A9F852DB744340D0A7C159F94253C0FC2D8576D97443404F03521EF94253C009600677D9744340E45CF7FEF84253C0DB53A943D974434025419267F94253C05D59BA43D9744340662FAF67F94253C05659D94CD874434090C0769AF94253C01E5AE24CD87443408CD4919AF94253C0CE30DD3FD774434094ECAD63F94253C05C06D53FD77443408946DA63F94253C08E54F6D8D574434046CDAD99F94253C081B6FED8D5744340733FD599F94253C0B2D9D2CBD47443407F6FBB64F94253C0EA51CACBD4744340372BC264F94253C033F51488D4744340C834BACAF84253C081EEE687D47443406EEB6B98F84253C08567D587D47443407F991291F84253C022248A6FD474434027C3FD85F84253C0872C255BD474434022071B6CF84253C0C41D3B35D47443409C2BF853F84253C0E1297629D4744340D8E86334F84253C0F5520E2CD47443404D12A716F84253C032EF353AD4744340AB556EFEF74253C0C9200D51D474434041A40FF5F74253C001A19D76D474434026B66BF6F74253C07D099E87D4744340654F67F8F74253C053D19E87D47443406BFBD8F5F74253C0DACE6A43D974434005000000CB08FCDDF74253C0A0DE4956DB74434077355545F84253C000546255DB74434056F9CE45F84253C0DF7F8AD1DB744340E96B69DEF74253C0135174D2DB744340CB08FCDDF74253C0A0DE4956DB744340050000009A775C09F84253C0552D8374DC744340EB45409AF84253C0A1115170DC744340509F199CF84253C0DBF49027DD744340352C290BF84253C0B943BD28DD7443409A775C09F84253C0552D8374DC744340,11001005500,55,Census Tract 55
